127.0.0.1 - - [28/Mar/2025:16:26:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:16 +0530] "GET /dedup2/Index.jsp HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:18 +0530] "GET /dedup2/user_signin.jsp HTTP/1.1" 200 7585
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:18 +0530] "GET /dedup2/js/move-top.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:18 +0530] "GET /dedup2/js/easing.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:22 +0530] "POST /dedup2/Usersignin HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:22 +0530] "GET /dedup2/assets/css/da-slider.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:22 +0530] "GET /dedup2/assets/css/font-awesome.min.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:22 +0530] "GET /dedup2/assets/js/modernizr-latest.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:22 +0530] "GET /dedup2/assets/css/bootstrap.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:22 +0530] "GET /dedup2/assets/css/style.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:22 +0530] "GET /dedup2/assets/css/bootstrap-theme.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:24 +0530] "GET /dedup2/assets/js/jquery.cslider.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:24 +0530] "GET /dedup2/assets/js/jquery-1.3.2.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:24 +0530] "GET /dedup2/assets/js/custom.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/downloadRequest.jsp HTTP/1.1" 200 8560
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/downloadRequest.jsp HTTP/1.1" 200 8560
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/css/bootstrap-theme.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/css/bootstrap.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/css/da-slider.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/css/style.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/css/font-awesome.min.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/js/modernizr-latest.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/js/jquery.cslider.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/js/custom.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:33 +0530] "GET /dedup2/assets/js/jquery-1.3.2.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/Own_files.jsp HTTP/1.1" 200 5273
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/css/bootstrap-theme.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/css/da-slider.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/css/bootstrap.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/css/font-awesome.min.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/css/style.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/js/modernizr-latest.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/js/jquery-1.3.2.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/js/custom.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:37 +0530] "GET /dedup2/assets/js/jquery.cslider.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/Own_files.jsp HTTP/1.1" 200 5273
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/css/font-awesome.min.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/css/bootstrap.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/css/style.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/css/bootstrap-theme.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/css/da-slider.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/js/jquery.cslider.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/js/modernizr-latest.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/js/jquery-1.3.2.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:42 +0530] "GET /dedup2/assets/js/custom.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/View_files.jsp HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/css/bootstrap.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/css/style.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/css/font-awesome.min.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/css/bootstrap-theme.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/css/da-slider.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/js/custom.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/js/jquery.cslider.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/js/modernizr-latest.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:45 +0530] "GET /dedup2/assets/js/jquery-1.3.2.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:56 +0530] "GET /dedup2/file_upload.jsp HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:56 +0530] "GET /dedup2/assets/css/font-awesome.min.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:56 +0530] "GET /dedup2/assets/css/bootstrap-theme.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Mar/2025:16:26:56 +0530] "GET /dedup2/assets/css/bootstrap.min.css HTTP/1.1" 404 798
